Age Bracket,Milestone Question (Indonesian),Category
0 - 6 Months,Menatap mata,Sosialisasi
0 - 6 Months,Mengeluarkan suara (ocehan),Bicara & Bahasa
0 - 6 Months,Tersenyum pada orang lain,Sosialisasi
0 - 6 Months,Menggerakkan kepala ke kiri dan kanan,Motorik Kasar
0 - 6 Months,Meraih benda yang ada di dekatnya,Motorik Halus
6 - 12 Months,Duduk sendiri tanpa bantuan,Motorik Kasar
6 - 12 Months,Merangkak,Motorik Kasar
6 - 12 Months,Berdiri berpegangan,Motorik Kasar
6 - 12 Months,Memasukkan benda kecil ke dalam wadah,Motorik Halus
6 - 12 Months,Memukul-mukul mainan,Motorik Halus
12 - 24 Months,Berjalan sendiri,Motorik Kasar
12 - 24 Months,Berjalan mundur atau jinjit,Motorik Kasar
12 - 24 Months,Mencoret-coret menggunakan pensil,Motorik Halus
12 - 24 Months,Memegang gelas sendiri,Kemandirian
12 - 24 Months,Mengikuti perintah sederhana,Bicara & Bahasa
2 - 3 Years,Berlari dan melompat,Motorik Kasar
2 - 3 Years,Berdiri satu kaki (sebentar),Motorik Kasar
2 - 3 Years,Menangkap dan melempar bola,Motorik Kasar
2 - 3 Years,Mencuci dan mengeringkan tangan sendiri,Kemandirian
2 - 3 Years,Menyusun balok,Motorik Halus
